% Moku:Go Digital Filter Box
% Input 1, AC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = 0, 2-2 = 1
% Filter 1 - 8th-order Butterworth Lowpass, corner frequency 10.00 Hz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Filter 2 - 4th-order Elliptic Bandpass, corner frequencies 100.0 Hz, 10.00 kHz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Output 1 - gain +20.0 dB, offset 0.000 0 V, output enabled
% Output 2 - gain +0.0 dB, offset 0.000 0 V, output disabled
% Acquired 2025-08-28 T 16:45:55 +0800
% Time (s), Probe A (Probe A) (V)
-1.000011264000e+01, 5.801173e-03
-9.980504576000e+00, 5.877504e-03
-9.960896512000e+00, 5.724842e-03
-9.941288448000e+00, 5.724842e-03
-9.921680384000e+00, 5.801173e-03
-9.902072320000e+00, 5.801173e-03
-9.882464256000e+00, 5.495848e-03
-9.862856192000e+00, 5.037861e-03
-9.843248128000e+00, 5.266854e-03
-9.823640064000e+00, 6.106498e-03
-9.804032000000e+00, 7.327797e-03
-9.784423936000e+00, 9.236078e-03
-9.764815872000e+00, 1.015205e-02
-9.745207808000e+00, 9.312409e-03
-9.725599744000e+00, 8.854422e-03
-9.705991680000e+00, 9.694065e-03
-9.686383616000e+00, 1.076270e-02
-9.666775552000e+00, 1.175501e-02
-9.647167488000e+00, 1.137335e-02
-9.627559424000e+00, 9.999390e-03
-9.607951360000e+00, 9.312409e-03
-9.588343296000e+00, 8.243772e-03
-9.568735232000e+00, 6.793479e-03
-9.549127168000e+00, 5.953835e-03
-9.529519104000e+00, 4.732536e-03
-9.509911040000e+00, 4.274548e-03
-9.490302976000e+00, 6.259160e-03
-9.470694912000e+00, 8.014778e-03
-9.451086848000e+00, 8.625428e-03
-9.431478784000e+00, 9.083415e-03
-9.411870720000e+00, 9.007084e-03
-9.392262656000e+00, 8.472765e-03
-9.372654592000e+00, 8.854422e-03
-9.353046528000e+00, 9.236078e-03
-9.333438464000e+00, 9.617734e-03
-9.313830400000e+00, 1.030471e-02
-9.294222336000e+00, 1.076270e-02
-9.274614272000e+00, 1.099170e-02
-9.255006208000e+00, 1.099170e-02
-9.235398144000e+00, 1.022838e-02
-9.215790080000e+00, 1.022838e-02
-9.196182016000e+00, 1.152601e-02
-9.176573952000e+00, 1.244199e-02
-9.156965888000e+00, 1.206033e-02
-9.137357824000e+00, 1.144968e-02
-9.117749760000e+00, 1.083903e-02
-9.098141696000e+00, 1.022838e-02
-9.078533632000e+00, 9.846727e-03
-9.058925568000e+00, 9.694065e-03
-9.039317504000e+00, 9.846727e-03
-9.019709440000e+00, 9.923059e-03
-9.000101376000e+00, 9.770396e-03
-8.980493312000e+00, 9.541403e-03
-8.960885248000e+00, 9.770396e-03
-8.941277184000e+00, 9.846727e-03
-8.921669120000e+00, 9.541403e-03
-8.902061056000e+00, 9.388740e-03
-8.882452992000e+00, 9.388740e-03
-8.862844928000e+00, 9.236078e-03
-8.843236864000e+00, 9.846727e-03
-8.823628800000e+00, 1.076270e-02
-8.804020736000e+00, 1.099170e-02
-8.784412672000e+00, 1.076270e-02
-8.764804608000e+00, 1.068637e-02
-8.745196544000e+00, 1.091536e-02
-8.725588480000e+00, 1.122069e-02
-8.705980416000e+00, 1.129702e-02
-8.686372352000e+00, 1.099170e-02
-8.666764288000e+00, 1.106803e-02
-8.647156224000e+00, 1.160235e-02
-8.627548160000e+00, 1.198400e-02
-8.607940096000e+00, 1.259465e-02
-8.588332032000e+00, 1.236566e-02
-8.568723968000e+00, 1.122069e-02
-8.549115904000e+00, 1.053371e-02
-8.529507840000e+00, 1.015205e-02
-8.509899776000e+00, 9.923059e-03
-8.490291712000e+00, 1.114436e-02
-8.470683648000e+00, 1.404494e-02
-8.451075584000e+00, 1.786151e-02
-8.431467520000e+00, 2.152540e-02
-8.411859456000e+00, 2.450232e-02
-8.392251392000e+00, 2.755557e-02
-8.372643328000e+00, 3.091414e-02
-8.353035264000e+00, 3.328041e-02
