% Moku:Go Digital Filter Box
% Input 1, AC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = 0, 2-2 = 1
% Filter 1 - 8th-order Butterworth Lowpass, corner frequency 10.00 Hz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Filter 2 - 4th-order Elliptic Bandpass, corner frequencies 100.0 Hz, 10.00 kHz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Output 1 - gain +20.0 dB, offset 0.000 0 V, output enabled
% Output 2 - gain +0.0 dB, offset 0.000 0 V, output disabled
% Acquired 2025-08-28 T 16:15:41 +0800
% Time (s), Probe A (Probe A) (V)
-1.000011264000e+01, 2.221239e-02
-9.980504576000e+00, 1.809050e-02
-9.960896512000e+00, 1.709819e-02
-9.941288448000e+00, 1.755618e-02
-9.921680384000e+00, 1.702186e-02
-9.902072320000e+00, 1.602956e-02
-9.882464256000e+00, 1.557157e-02
-9.862856192000e+00, 1.671654e-02
-9.843248128000e+00, 1.854849e-02
-9.823640064000e+00, 1.862482e-02
-9.804032000000e+00, 1.641121e-02
-9.784423936000e+00, 1.404494e-02
-9.764815872000e+00, 1.450293e-02
-9.745207808000e+00, 1.755618e-02
-9.725599744000e+00, 2.045677e-02
-9.705991680000e+00, 2.076209e-02
-9.686383616000e+00, 1.816683e-02
-9.666775552000e+00, 1.518991e-02
-9.647167488000e+00, 1.396861e-02
-9.627559424000e+00, 1.488459e-02
-9.607951360000e+00, 1.534258e-02
-9.588343296000e+00, 1.450293e-02
-9.568735232000e+00, 1.312897e-02
-9.549127168000e+00, 1.206033e-02
-9.529519104000e+00, 1.183134e-02
-9.509911040000e+00, 1.206033e-02
-9.490302976000e+00, 1.244199e-02
-9.470694912000e+00, 1.358696e-02
-9.451086848000e+00, 1.572423e-02
-9.431478784000e+00, 1.778517e-02
-9.411870720000e+00, 1.931180e-02
-9.392262656000e+00, 1.984612e-02
-9.372654592000e+00, 1.931180e-02
-9.353046528000e+00, 1.885381e-02
-9.333438464000e+00, 1.893014e-02
-9.313830400000e+00, 1.893014e-02
-9.294222336000e+00, 1.801417e-02
-9.274614272000e+00, 1.587689e-02
-9.255006208000e+00, 1.366329e-02
-9.235398144000e+00, 1.251832e-02
-9.215790080000e+00, 1.259465e-02
-9.196182016000e+00, 1.320530e-02
-9.176573952000e+00, 1.404494e-02
-9.156965888000e+00, 1.480826e-02
-9.137357824000e+00, 1.518991e-02
-9.117749760000e+00, 1.457926e-02
-9.098141696000e+00, 1.328163e-02
-9.078533632000e+00, 1.183134e-02
-9.058925568000e+00, 1.122069e-02
-9.039317504000e+00, 1.183134e-02
-9.019709440000e+00, 1.267098e-02
-9.000101376000e+00, 1.297631e-02
-8.980493312000e+00, 1.274731e-02
-8.960885248000e+00, 1.282364e-02
-8.941277184000e+00, 1.335796e-02
-8.921669120000e+00, 1.412128e-02
-8.902061056000e+00, 1.465559e-02
-8.882452992000e+00, 1.473193e-02
-8.862844928000e+00, 1.457926e-02
-8.843236864000e+00, 1.427394e-02
-8.823628800000e+00, 1.404494e-02
-8.804020736000e+00, 1.373962e-02
-8.784412672000e+00, 1.381595e-02
-8.764804608000e+00, 1.435027e-02
-8.745196544000e+00, 1.480826e-02
-8.725588480000e+00, 1.496092e-02
-8.705980416000e+00, 1.488459e-02
-8.686372352000e+00, 1.488459e-02
-8.666764288000e+00, 1.564790e-02
-8.647156224000e+00, 1.740352e-02
-8.627548160000e+00, 1.885381e-02
-8.607940096000e+00, 1.954079e-02
-8.588332032000e+00, 1.969345e-02
-8.568723968000e+00, 1.931180e-02
-8.549115904000e+00, 1.816683e-02
-8.529507840000e+00, 1.702186e-02
-8.509899776000e+00, 1.648754e-02
-8.490291712000e+00, 1.595322e-02
-8.470683648000e+00, 1.526624e-02
-8.451075584000e+00, 1.427394e-02
-8.431467520000e+00, 1.312897e-02
-8.411859456000e+00, 1.267098e-02
-8.392251392000e+00, 1.343429e-02
-8.372643328000e+00, 1.404494e-02
-8.353035264000e+00, 1.373962e-02
-8.333427200000e+00, 1.160235e-02
-8.313819136000e+00, 7.633122e-03
-8.294211072000e+00, 3.892892e-03
-8.274603008000e+00, 2.595261e-03
-8.254994944000e+00, 3.816561e-03
-8.235386880000e+00, 6.564485e-03
-8.215778816000e+00, 9.312409e-03
