% Moku:Go Digital Filter Box
% Input 1, AC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = 0, 2-2 = 1
% Filter 1 - 8th-order Butterworth Lowpass, corner frequency 50.00 Hz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Filter 2 - 4th-order Elliptic Bandpass, corner frequencies 100.0 Hz, 10.00 kHz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Output 1 - gain +20.0 dB, offset 0.000 0 V, output enabled
% Output 2 - gain +0.0 dB, offset 0.000 0 V, output disabled
% Acquired 2025-08-28 T 14:13:57 +0800
% Time (s), Probe A (Probe A) (V)
-1.336649932800e+01, 6.579751e-02
-1.335331737600e+01, -2.824255e-03
-1.334013542400e+01, -7.801051e-02
-1.332695347200e+01, 4.350880e-03
-1.331377152000e+01, 1.290761e-01
-1.330058956800e+01, 5.266854e-02
-1.328740761600e+01, -9.564302e-02
-1.327422566400e+01, -5.350819e-02
-1.326104371200e+01, 3.869993e-02
-1.324786176000e+01, 5.915670e-02
-1.323467980800e+01, 3.579934e-02
-1.322149785600e+01, 3.824194e-02
-1.320831590400e+01, 9.602467e-02
-1.319513395200e+01, 1.256412e-01
-1.318195200000e+01, 2.992184e-02
-1.316877004800e+01, -5.045494e-02
-1.315558809600e+01, -1.373962e-02
-1.314240614400e+01, 6.846910e-02
-1.312922419200e+01, 8.999451e-02
-1.311604224000e+01, -2.404433e-02
-1.310286028800e+01, -3.434905e-02
-1.308967833600e+01, -4.732536e-02
-1.307649638400e+01, 1.304501e-01
-1.306331443200e+01, 4.656204e-03
-1.305013248000e+01, 1.656387e-02
-1.303695052800e+01, 1.005282e-01
-1.302376857600e+01, 1.080087e-01
-1.301058662400e+01, 7.091170e-02
-1.299740467200e+01, 2.358635e-02
-1.298422272000e+01, 1.100696e-01
-1.297104076800e+01, 5.335552e-02
-1.295785881600e+01, 3.892892e-03
-1.294467686400e+01, -5.915670e-02
-1.293149491200e+01, 3.915792e-02
-1.291831296000e+01, 9.136847e-02
-1.290513100800e+01, 5.198156e-02
-1.289194905600e+01, -2.892953e-02
-1.287876710400e+01, 7.633122e-05
-1.286558515200e+01, 6.724780e-02
-1.285240320000e+01, 2.908219e-02
-1.283922124800e+01, -4.847032e-02
-1.282603929600e+01, -6.961407e-02
-1.281285734400e+01, 4.556974e-02
-1.279967539200e+01, 9.640633e-02
-1.278649344000e+01, -1.427394e-02
-1.277331148800e+01, -6.625550e-02
-1.276012953600e+01, 4.076087e-02
-1.274694758400e+01, 9.533769e-02
-1.273376563200e+01, 2.671593e-02
-1.272058368000e+01, -6.350758e-02
-1.270740172800e+01, -1.969345e-02
-1.269421977600e+01, 8.488032e-02
-1.268103782400e+01, 5.953835e-02
-1.266785587200e+01, -7.198034e-02
-1.265467392000e+01, -7.136969e-02
-1.264149196800e+01, 3.503603e-02
-1.262831001600e+01, 7.778151e-02
-1.261512806400e+01, -1.312897e-02
-1.260194611200e+01, -8.923120e-02
-1.258876416000e+01, 1.236566e-02
-1.257558220800e+01, 1.158708e-01
-1.256240025600e+01, 2.534197e-02
-1.254921830400e+01, -5.984368e-02
-1.253603635200e+01, -3.618100e-02
-1.252285440000e+01, 6.617917e-02
-1.250967244800e+01, 6.404189e-02
-1.249649049600e+01, -2.946385e-02
-1.248330854400e+01, -6.167563e-02
-1.247012659200e+01, 2.923486e-02
-1.245694464000e+01, 6.747680e-02
-1.244376268800e+01, -5.724842e-03
-1.243058073600e+01, -5.106559e-02
-1.241739878400e+01, -1.137335e-02
-1.240421683200e+01, 4.885198e-02
-1.239103488000e+01, 3.763129e-02
-1.237785292800e+01, -9.617734e-03
-1.236467097600e+01, -1.343429e-02
-1.235148902400e+01, 1.549524e-02
-1.233830707200e+01, 2.946385e-02
-1.232512512000e+01, 1.931180e-02
-1.231194316800e+01, -3.976857e-02
-1.229876121600e+01, 2.900586e-03
-1.228557926400e+01, 2.282303e-02
-1.227239731200e+01, 6.106498e-04
-1.225921536000e+01, -2.671593e-02
-1.224603340800e+01, 1.641121e-02
-1.223285145600e+01, -4.732536e-03
-1.221966950400e+01, 1.809050e-02
-1.220648755200e+01, 2.328102e-02
-1.219330560000e+01, 1.236566e-02
-1.218012364800e+01, 3.816561e-03
-1.216694169600e+01, 3.312775e-02
-1.215375974400e+01, 1.801417e-02
-1.214057779200e+01, 1.839582e-02
-1.212739584000e+01, 2.747924e-03
-1.211421388800e+01, -5.572179e-03
-1.210103193600e+01, 3.518869e-02
-1.208784998400e+01, 4.366146e-02
-1.207466803200e+01, 2.564729e-02
-1.206148608000e+01, -2.091475e-02
-1.204830412800e+01, 1.282364e-02
-1.203512217600e+01, 5.442416e-02
-1.202194022400e+01, 5.938569e-02
-1.200875827200e+01, -1.526624e-03
-1.199557632000e+01, -2.870054e-02
-1.198239436800e+01, 4.450110e-02
-1.196921241600e+01, 6.167563e-02
-1.195603046400e+01, 1.396861e-02
-1.194284851200e+01, -3.656265e-02
-1.192966656000e+01, 1.809050e-02
-1.191648460800e+01, 7.068271e-02
-1.190330265600e+01, 4.350880e-02
-1.189012070400e+01, -3.931058e-02
-1.187693875200e+01, -7.709453e-03
-1.186375680000e+01, 6.747680e-02
-1.185057484800e+01, 5.724842e-02
-1.183739289600e+01, -2.236505e-02
-1.182421094400e+01, -1.580056e-02
-1.181102899200e+01, 4.694370e-02
-1.179784704000e+01, 7.694187e-02
-1.178466508800e+01, 1.030471e-02
-1.177148313600e+01, -4.182951e-02
-1.175830118400e+01, 1.496092e-02
-1.174511923200e+01, 3.663899e-02
-1.173193728000e+01, -6.717147e-03
-1.171875532800e+01, -1.568607e-01
-1.170557337600e+01, 1.564027e-01
-1.169239142400e+01, -1.007572e-02
-1.167920947200e+01, 3.022716e-02
-1.166602752000e+01, -2.289937e-04
-1.165284556800e+01, 3.434905e-02
-1.163966361600e+01, 7.526258e-02
