% Moku:Go Digital Filter Box
% Input 1, AC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = 0, 2-2 = 1
% Filter 1 - 8th-order Butterworth Lowpass, corner frequency 50.00 Hz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Filter 2 - 4th-order Elliptic Bandpass, corner frequencies 100.0 Hz, 10.00 kHz, sampling rate 3.9063 MHz, input offset 0.000 V, input gain +0.0 dB
% Output 1 - gain +20.0 dB, offset 0.000 0 V, output enabled
% Output 2 - gain +0.0 dB, offset 0.000 0 V, output disabled
% Acquired 2025-08-28 T 14:10:39 +0800
% Time (s), Probe A (Probe A) (V)
-1.065058880000e+01, 2.648693e-02
-1.063690496000e+01, -4.282181e-02
-1.062322112000e+01, -7.350696e-02
-1.060953728000e+01, 1.870115e-02
-1.059585344000e+01, 3.412006e-02
-1.058216960000e+01, -9.465071e-03
-1.056848576000e+01, 4.244016e-02
-1.055480192000e+01, 1.789204e-01
-1.054111808000e+01, 8.938386e-02
-1.052743424000e+01, -9.136847e-02
-1.051375040000e+01, -7.404128e-02
-1.050006656000e+01, 2.427333e-02
-1.048638272000e+01, 2.213605e-02
-1.047269888000e+01, -1.064057e-01
-1.045901504000e+01, -6.900342e-02
-1.044533120000e+01, 4.656204e-02
-1.043164736000e+01, 5.251588e-02
-1.041796352000e+01, -1.320530e-02
-1.040427968000e+01, -5.404250e-02
-1.039059584000e+01, 1.000702e-01
-1.037691200000e+01, 1.405258e-01
-1.036322816000e+01, 3.740230e-03
-1.034954432000e+01, -8.968918e-02
-1.033586048000e+01, -5.343185e-04
-1.032217664000e+01, 6.610284e-02
-1.030849280000e+01, -5.159990e-02
-1.029480896000e+01, -1.325873e-01
-1.028112512000e+01, -2.427333e-02
-1.026744128000e+01, 1.587689e-01
-1.025375744000e+01, 6.648449e-02
-1.024007360000e+01, -3.908158e-02
-1.022638976000e+01, 4.648571e-02
-1.021270592000e+01, 1.310607e-01
-1.019902208000e+01, 8.075843e-02
-1.018533824000e+01, -6.350758e-02
-1.017165440000e+01, -8.411700e-02
-1.015797056000e+01, 3.732597e-02
-1.014428672000e+01, 7.984246e-02
-1.013060288000e+01, -4.137152e-02
-1.011691904000e+01, -4.702003e-02
-1.010323520000e+01, 4.396678e-02
-1.008955136000e+01, 8.907853e-02
-1.007586752000e+01, 1.549524e-02
-1.006218368000e+01, -3.831827e-02
-1.004849984000e+01, 4.160051e-02
-1.003481600000e+01, 7.862116e-03
-1.002113216000e+01, 1.992245e-02
-1.000744832000e+01, -4.953896e-02
-9.993764480000e+00, -3.289876e-02
-9.980080640000e+00, 8.236139e-02
-9.966396800000e+00, 4.961529e-02
-9.952712960000e+00, -5.053127e-02
-9.939029120000e+00, -5.289754e-02
-9.925345280000e+00, 6.182829e-03
-9.911661440000e+00, 2.503664e-02
-9.897977600000e+00, 3.640999e-02
-9.884293760000e+00, -6.717147e-03
-9.870609920000e+00, 4.350880e-03
-9.856926080000e+00, 3.839460e-02
-9.843242240000e+00, 1.915914e-02
-9.829558400000e+00, 2.496031e-02
-9.815874560000e+00, -6.640816e-03
-9.802190720000e+00, -2.091475e-02
-9.788506880000e+00, 5.045494e-02
